時間	感受性者	感染者	回復者	フェーズ
878.2	121326054.6	537149.4	3136796.0	hammer
878.3	121315727.3	539803.1	3144469.5	hammer
878.4	121305350.8	542468.2	3152181.0	hammer
878.5	121294924.8	545144.7	3159930.5	hammer
878.6	121284449.2	547832.5	3167718.3	hammer
878.7	121273923.7	550531.8	3175544.5	hammer
878.8	121263348.2	553242.6	3183409.2	hammer
878.9	121252722.5	555964.8	3191312.6	hammer
879.0	121242046.4	558698.6	3199255.0	hammer
879.1	121231319.7	561443.9	3207236.4	hammer
879.2	121220542.2	564200.8	3215257.0	hammer
879.3	121209713.7	566969.3	3223317.0	hammer
879.4	121198833.9	569749.5	3231416.6	hammer
879.5	121187902.8	572541.3	3239555.8	hammer
879.6	121176920.2	575344.9	3247735.0	hammer
879.7	121165885.7	578160.1	3255954.2	hammer
879.8	121154799.3	580987.1	3264213.6	hammer
879.9	121143660.7	583825.9	3272513.4	hammer
880.0	121132469.7	586676.5	3280853.8	hammer
880.1	121121226.2	589539.0	3289234.9	hammer
880.2	121109929.9	592413.3	3297656.8	hammer
880.3	121098580.6	595299.5	3306119.9	hammer
880.4	121087178.2	598197.6	3314624.2	hammer
880.5	121075722.4	601107.7	3323169.8	hammer
880.6	121064213.1	604029.8	3331757.1	hammer
880.7	121052650.0	606963.9	3340386.1	hammer
880.8	121041033.0	609910.0	3349057.0	hammer
880.9	121029361.9	612868.2	3357770.0	hammer
881.0	121017636.4	615838.4	3366525.2	hammer
881.1	121005856.3	618820.8	3375322.9	hammer
881.2	120994021.5	621815.3	3384163.2	hammer
881.3	120982131.8	624822.0	3393046.2	hammer
881.4	120970186.9	627840.8	3401972.3	hammer
881.5	120958186.7	630871.9	3410941.4	hammer
881.6	120946130.9	633915.2	3419953.9	hammer
881.7	120934019.4	636970.8	3429009.8	hammer
881.8	120921852.0	640038.7	3438109.4	hammer
881.9	120909628.4	643118.9	3447252.8	hammer
882.0	120897348.4	646211.4	3456440.2	hammer
882.1	120885012.0	649316.3	3465671.7	hammer
882.2	120872618.7	652433.6	3474947.7	hammer
882.3	120860168.6	655563.3	3484268.1	hammer
882.4	120847661.3	658705.4	3493633.3	hammer
882.5	120835096.6	661860.0	3503043.4	hammer
882.6	120822474.4	665027.1	3512498.5	hammer
882.7	120809794.4	668206.7	3521998.9	hammer
882.8	120797056.5	671398.8	3531544.7	hammer
882.9	120784260.5	674603.4	3541136.1	hammer
883.0	120771406.1	677820.7	3550773.3	hammer
883.1	120758493.1	681050.5	3560456.4	hammer
883.2	120745521.4	684292.9	3570185.7	hammer
883.3	120732490.7	687548.0	3579961.3	hammer
883.4	120719400.8	690815.7	3589783.4	hammer
883.5	120706251.6	694096.2	3599652.2	hammer
883.6	120693042.9	697389.3	3609567.9	hammer
883.7	120679774.3	700695.1	3619530.6	hammer
883.8	120666445.8	704013.7	3629540.5	hammer
883.9	120653057.2	707345.0	3639597.8	hammer
884.0	120639608.2	710689.1	3649702.7	hammer
884.1	120626098.6	714046.0	3659855.4	hammer
884.2	120612528.2	717415.8	3670056.1	hammer
884.3	120598896.8	720798.3	3680304.8	hammer
884.4	120585204.3	724193.7	3690602.0	hammer
884.5	120571450.4	727602.0	3700947.6	hammer
884.6	120557634.9	731023.2	3711341.9	hammer
884.7	120543757.7	734457.3	3721785.1	hammer
884.8	120529818.4	737904.3	3732277.3	hammer
884.9	120515817.0	741364.2	3742818.8	hammer
885.0	120501753.2	744837.1	3753409.7	hammer
885.1	120487626.8	748323.0	3764050.2	hammer
885.2	120473437.7	751821.8	3774740.5	hammer
885.3	120459185.5	755333.7	3785480.8	hammer
885.4	120444870.2	758858.5	3796271.3	hammer
885.5	120430491.4	762396.5	3807112.1	hammer
885.6	120416049.1	765947.4	3818003.5	hammer
885.7	120401543.0	769511.4	3828945.6	hammer
885.8	120386972.9	773088.5	3839938.6	hammer
885.9	120372338.7	776678.7	3850982.7	hammer
886.0	120357640.0	780281.9	3862078.1	hammer
886.1	120342876.8	783898.3	3873225.0	hammer
886.2	120328048.7	787527.8	3884423.5	hammer
886.3	120313155.7	791170.4	3895673.9	hammer
886.4	120298197.5	794826.2	3906976.3	hammer
